filename,class,subtype,prompt,Unnamed: 4,Unnamed: 5,SPLIT,file_path
SOB_B_A-14-22549AB-400-012,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-012.png
SOB_B_A-14-22549AB-400-013,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-013.png
SOB_B_A-14-22549AB-400-014,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-014.png
SOB_B_A-14-22549AB-400-015,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-015.png
SOB_B_A-14-22549AB-400-016,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-016.png
SOB_B_A-14-22549AB-400-017,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-017.png
SOB_B_A-14-22549AB-400-018,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-018.png
SOB_B_A-14-22549AB-400-019,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-019.png
SOB_B_A-14-22549AB-400-020,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-020.png
SOB_B_A-14-22549AB-400-021,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-021.png
SOB_B_A-14-22549AB-400-022,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-022.png
SOB_B_A-14-22549AB-400-023,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-023.png
SOB_B_A-14-22549AB-400-024,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-024.png
SOB_B_A-14-22549AB-400-025,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-025.png
SOB_B_A-14-22549AB-400-026,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-026.png
SOB_B_A-14-22549AB-400-027,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-027.png
SOB_B_A-14-22549AB-400-028,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-028.png
SOB_B_A-14-22549AB-400-029,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-029.png
SOB_B_A-14-22549AB-400-030,benign,Adenosis,"A histopathological image of benign breast tissue, classified under the adenosis subtype",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-030.png
SOB_B_A-14-22549CD-400-001,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-001.png
SOB_B_A-14-22549CD-400-002,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-002.png
SOB_B_A-14-22549CD-400-003,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-003.png
SOB_B_A-14-22549CD-400-004,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-004.png
SOB_B_A-14-22549CD-400-005,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-005.png
SOB_B_A-14-22549CD-400-006,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-006.png
SOB_B_A-14-22549CD-400-007,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-007.png
SOB_B_A-14-22549CD-400-008,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-008.png
SOB_B_A-14-22549CD-400-009,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-009.png
SOB_B_A-14-22549CD-400-010,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-010.png
SOB_B_A-14-22549CD-400-011,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-011.png
SOB_B_A-14-22549CD-400-012,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-012.png
SOB_B_A-14-22549CD-400-013,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-013.png
SOB_B_A-14-22549CD-400-014,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-014.png
SOB_B_A-14-22549CD-400-015,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-015.png
SOB_B_A-14-22549CD-400-016,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-016.png
SOB_B_A-14-22549CD-400-017,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-017.png
SOB_B_A-14-22549CD-400-018,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-018.png
SOB_B_A-14-22549CD-400-019,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-019.png
SOB_B_A-14-22549CD-400-020,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-020.png
SOB_B_A-14-22549CD-400-021,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-021.png
SOB_B_A-14-22549CD-400-022,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-022.png
SOB_B_A-14-22549CD-400-023,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-023.png
SOB_B_A-14-22549CD-400-024,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-024.png
SOB_B_A-14-22549CD-400-025,benign,Adenosis,"This is a image of breast tissue, identified as benign and belonging to the adenosis subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-025.png
SOB_B_A-14-22549CD-400-026,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-026.png
SOB_B_A-14-22549CD-400-027,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-027.png
SOB_B_A-14-22549CD-400-028,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-028.png
SOB_B_A-14-22549CD-400-029(1),benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-029(1).png
SOB_B_A-14-22549CD-400-029,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-029.png
SOB_B_A-14-22549CD-400-030,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549CD-400-030.png
SOB_B_A-14-22549G-400-001,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549G-400-001.png
SOB_B_A-14-22549G-400-002,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549G-400-002.png
SOB_B_A-14-22549G-400-003,benign,Adenosis,A  histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549G-400-003.png
SOB_B_A-14-29960CD-400-007,benign,Adenosis, histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-007.png
SOB_B_A-14-29960CD-400-008,benign,Adenosis, histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-008.png
SOB_B_A-14-29960CD-400-009,benign,Adenosis, histopathology image showing benign breast tissue with adenosis as its subclass.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-009.png
SOB_B_A-14-29960CD-400-010,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-010.png
SOB_B_A-14-29960CD-400-011,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-011.png
SOB_B_A-14-29960CD-400-012,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-012.png
SOB_B_A-14-29960CD-400-013,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-013.png
SOB_B_A-14-29960CD-400-014,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-014.png
SOB_B_A-14-29960CD-400-015,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-015.png
SOB_B_A-14-29960CD-400-016,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-016.png
SOB_B_A-14-29960CD-400-017,benign,Adenosis,A benign breast histopathology image at beginning with class and subclass adenosis,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-29960CD-400-017.png
SOB_B_F-14-9133-400-001,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-001.png
SOB_B_F-14-9133-400-002,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-002.png
SOB_B_F-14-9133-400-003,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-003.png
SOB_B_F-14-9133-400-004,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-004.png
SOB_B_F-14-9133-400-005,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-005.png
SOB_B_F-14-9133-400-006,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-006.png
SOB_B_F-14-9133-400-007,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-007.png
SOB_B_F-14-9133-400-008,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-008.png
SOB_B_F-14-9133-400-009,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-009.png
SOB_B_F-14-9133-400-010,benign,Fibro adenoma,"A histopathology image of benign breast tissue, categorized under the fibroadenoma subclass.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-010.png
SOB_B_F-14-9133-400-011,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-011.png
SOB_B_F-14-9133-400-012,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-012.png
SOB_B_F-14-9133-400-013,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-013.png
SOB_B_F-14-9133-400-014,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-014.png
SOB_B_F-14-9133-400-015,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-015.png
SOB_B_F-14-9133-400-016,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-016.png
SOB_B_F-14-9133-400-017,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-017.png
SOB_B_F-14-9133-400-018,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-018.png
SOB_B_F-14-9133-400-019,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-019.png
SOB_B_F-14-9133-400-020,benign,Fibro adenoma,This is a benign breast histological image with the subtype identified as fibroadenoma.,,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-020.png
SOB_B_F-14-9133-400-021,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-021.png
SOB_B_F-14-9133-400-022,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-022.png
SOB_B_F-14-9133-400-023,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-023.png
SOB_B_F-14-9133-400-024,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-024.png
SOB_B_F-14-9133-400-025,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-025.png
SOB_B_F-14-9133-400-026,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-9133-400-026.png
SOB_B_F-14-14134-400-001,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-001.png
SOB_B_F-14-14134-400-002,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-002.png
SOB_B_F-14-14134-400-003,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-003.png
SOB_B_F-14-14134-400-004,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-004.png
SOB_B_F-14-14134-400-005,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-005.png
SOB_B_F-14-14134-400-006,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-006.png
SOB_B_F-14-14134-400-007,benign,Fibro adenoma,"The image represents benign breast tissue, showing features of the fibroadenoma subclass under histopathological examination.",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Fibro_adenoma/SOB_B_F-14-14134-400-007.png
